"","Player","Rating","Games","Win","Draw","Loss","Lag"
"1",279,2484.66589869997,43,40,0,3,24
"2",278,2478.85072221131,42,39,0,3,27
"3",251,2449.45201140425,42,38,0,4,9
"4",261,2422.55543371227,39,34,0,5,33
"5",273,2389.99735480887,39,32,0,7,7
"6",266,2366.44552726992,35,28,0,7,13
"7",252,2359.43784345388,36,27,0,9,16
"8",249,2358.99912953863,37,29,0,8,3
"9",274,2350.27657591351,40,31,0,9,3
"10",254,2334.20737094757,39,30,0,9,12
"11",257,2327.05231051885,37,25,0,12,1
"12",258,2297.16686312219,41,28,0,13,63
"13",250,2280.24281436955,41,26,0,15,8
"14",246,2249.28830068336,40,23,0,17,0
"15",268,2207.04206339061,38,20,0,18,5
"16",263,2198.37464301826,36,19,0,17,2
"17",276,2187.18400419307,38,18,0,20,14
"18",255,2182.85466711106,38,17,0,21,22
"19",272,2182.56567804767,40,19,0,21,1
"20",247,2167.63427297616,39,16,0,23,11
"21",262,2157.69917894481,42,18,0,24,28
"22",271,2135.64084068846,39,14,0,25,37
"23",248,2131.28093522249,46,21,0,25,24
"24",270,2088.8138305708,38,11,0,27,2
"25",265,2061.06570621006,47,13,0,34,17
"26",277,2060.13175487317,39,9,0,30,6
"27",259,2030.85695968033,37,8,0,29,62
"28",256,2029.83119969892,43,9,0,34,4
"29",264,2000.45081684931,36,6,0,30,61
"30",275,1990.95137198553,39,5,0,34,0
"31",260,1970.37845824336,41,7,0,34,10
"32",269,1965.56509817792,41,6,0,35,4
"33",267,1951.90276887796,38,4,0,34,6
"34",253,1951.13759458593,42,4,0,38,7
